  PID TTY      STAT   TIME COMMAND
 1864 ?        S      0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/va
 1985 ?        Ss     0:00 /usr/sbin/winbindd -F
 2003 ?        Ss     0:00 nmbd -D
 2010 ?        S      0:00 /usr/sbin/winbindd -F
 2039 ?        Ssl    0:12 /opt/teamviewer/tv_bin/teamviewerd -f
 2120 ?        Ssl    0:00 /usr/sbin/cupsd -f
 2153 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 2155 ?        Ss     0:00 init --user
 2242 ?        Ss     0:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-qd7AhPdbE6
 2253 ?        Ss     0:00 upstart-event-bridge
 2260 ?        Ss     0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
 2284 ?        Sl     0:05 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
 2288 ?        S      0:00 upstart-file-bridge --daemon --user
 2291 ?        S      0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
 2294 ?        S      0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
 2297 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 2301 ?        Ssl    2:38 /usr/bin/ibus-daemon --daemonize --xim
 2318 ?        Ssl    0:01 /usr/lib/unity-settings-daemon/unity-settings-daemon
 2324 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
 2326 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
 2328 ?        Sl     0:00 /usr/lib/ibus/ibus-dconf
 2329 ?        Sl     0:22 /usr/lib/ibus/ibus-ui-gtk3
 2330 ?        Ssl    0:00 gnome-session --session=ubuntu
 2332 ?        Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 2337 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2345 ?        S      0:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 2347 ?        Ssl    0:05 /usr/lib/unity/unity-panel-service
 2357 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2385 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
 2386 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
 2394 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 2395 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
 2400 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
 2401 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
 2408 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
 2409 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
 2432 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
 2443 ?        S<l    4:36 /usr/bin/pulseaudio --start --log-target=syslog
 2447 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
 2456 ?        Sl     0:54 /usr/lib/ibus/ibus-engine-simple
 2459 ?        S      0:06 syndaemon -i 1.0 -t -K -R
 2482 ?        Sl     0:01 /usr/lib/x86_64-linux-gnu/notify-osd
 2485 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
 2503 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2507 ?        Sl     3:56 compiz
 2521 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2524 ?        Sl     0:09 nautilus -n
 2525 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 2529 ?        Sl     0:02 nm-applet
 2533 ?        Sl     2:31 /usr/bin/python /usr/bin/guake
 2537 ?        Sl     0:06 /usr/bin/python -O /usr/share/wicd/gtk/wicd-client.py --tray
